code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g	prediction
21456.0		502.0	6.1	4.0	14.1	2.1	120.0	1.3	0.27	0.108	1.8	31.7	-1.0	2
2.1698066E9		1046.0	0.0	0.0	50.0	25.0	250.0	0.0	19.375	7.75	0.0	0.0	18.0	0
224.0		1979.0	5.8	25.0	55.0	32.0	473.0	5.0	0.63	0.252	2.5	0.0	16.0	6
2.3300006E9		837.0	0.0	0.0	45.71	42.86	200.0	0.0	1.0725	0.429	2.9	4.7619047	12.0	6
2.3500006E9		477.0	0.0	0.0	28.57	22.86	114.0	0.0	0.6775	0.271	0.0	5.5555553	9.0	2
23689.0		2151.0	5.8	28.0	52.0	49.0	514.0	17.0	0.0	0.0	9.1	0.0	21.0	1
2.3800005E9		636.0	0.0	1.52	33.33	24.24	152.0	0.0	1.7425	0.697	0.0	0.0	13.0	2
24280.0		2096.0	6.9	26.1	58.1	30.2	501.0	14.3	0.63	0.252	3.2	3.0	21.0	1
24587.0		527.0	7.0	4.6	13.1	1.1	126.0	2.1	0.2	0.08	1.2	18.4	-2.0	2
25157.0		1070.0	9.77	12.0	25.6	3.76	256.0	4.51	1.22	0.489	0.752	0.0	12.0	2
25751.0		564.0	24.5	2.0	4.3	2.9	135.0	0.7	1.975	0.79	0.1	0.0	4.0	2
2.6520095E9		2389.0	3.57	32.14	60.71	39.29	571.0	25.0	0.18034	0.072136	3.6	0.0	22.0	1
27083.0		1515.0	2.8	19.9	42.3	21.3	362.0	2.5	0.8	0.32	1.2	15.0	12.0	6
27137.0		439.0	5.7	6.7	4.6	0.9	105.0	1.5	0.55	0.22	2.0	0.0	-1.0	2
28097.0		2205.0	5.4	29.7	58.6	27.8	527.0	18.2	0.7	0.28	1.8	0.0	24.0	1
28202.0		2054.0	6.2	26.5	53.7	2.5	491.0	3.2	1.18	0.472	6.3	0.0	9.0	0
28257.0		2071.0	6.0	27.2	53.4	1.5	495.0	3.0	1.1	0.44	6.1	0.0	7.0	0
28264.0		1665.0	8.4	10.4	64.8	16.2	398.0	1.7	1.33	0.532	4.2	20.0	9.0	6
28271.0		2314.0	4.7	34.9	54.0	21.2	553.0	18.2	0.5	0.2	4.1	7.0	18.0	1
2.8590374E9		1883.0	5.0	20.0	62.5	50.0	450.0	10.0	0.125	0.05	2.5	0.0	22.0	1
2.8590387E9		2510.0	5.0	47.5	40.0	20.0	600.0	40.0	0.1875	0.075	5.0	0.0	16.0	1
2.8590636E9		1883.0	5.0	20.0	62.5	50.0	450.0	10.0	0.125	0.05	2.5	0.0	22.0	1
2.8590671E9		2218.0	4.8	34.4	51.2	48.8	530.0	20.0	0.1875	0.075	3.2	0.0	23.0	1
2.9725998E9		1393.0	6.67	20.0	33.33	6.67	333.0	0.0	0.0825	0.033	0.0	0.0	1.0	2
3.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
30045.0		130.0	0.2	0.1	7.6	7.6	31.0	0.1	0.03	0.012	0.1	12.0	11.0	2
